CUSTOMER,MARKET SEGMENT,ASSET TYPE,PROJECT,REF CODE,DEPARTMENT,ACTIVITIES,January,February,March,April,May,June,July,August,September,October,November,December,Sum,,,,,,,,,
Anheuser-Busch InBev NV,Industrials,Pressure Vessel,ABInBev-Mash-cooker-coils,,Production,Digitization Services,260,96,,,,,,,,,,,356,,,,,,,,,
Axpo,Renewables,Hydro,AXPO,,Production,Digitization Services,,,,,,,,,,,,,0,,,,,,,,,
Shell,Upstream,FPSO,Bonga-Mitigation,,Production,Digitization Services,423,496,600,,,,,,,,,,1519,,,,,,,,,
Shell,Upstream,FPSO,BongaLE,,Production,Digitization Services,,,,,,,,,,,,,0,,,,,,,,,
Shell,Downstream,Tanks,BufferTankRoof,,Production,Digitization Services,,,,,,,,,,,,,0,,,,,,,,,
Oktedi Mining Limited,Mining,Cranes,CV43,,Production,Digitization Services,,,,,,,,,,,,,0,,,,,,,,,
Shell,Downstream ,Deaerator ,Deaerator,,Production,Digitization Services,,,,,,,,,,,,,0,,,,,,,,,
DHI,Industrials,Pump,DHI-RCP,,Production,Digitization Services,,,,,,,,,,,,,0,,,,,,,,,
Pan American Energy,Downstream,Coker,DKU-Coker-Drum,,Production,Digitization Services,124,12,,,,,,,,,,,136,,,,,,,,,
ORCA Korea,Renewables,Solar - Floating,FloatingSolar,,Production,Digitization Services,,,,,,,,,,,,,0,,,,,,,,,
Factory Mutual Insurance Company,Mining,Cranes,FMGlobal-Crane,,Production,Digitization Services,120,64,,,,,,,,,,,184,,,,,,,,,
GE Global Research,Renewables,Wind - Floating,GE-Wind,,Production,Digitization Services,108,80,124,,,,,,,,,,312,,,,,,,,,
Worley Services Pty Ltd.,Renewables,Wind - Floating,Hexicon,,Production,Digitization Services,128,152,16,,,,,,,,,,296,,,,,,,,,
Hokchi Energy S.A. de C.V,Upstream,Jacket,Hokchi,,Production,Digitization Services,83,160,184,,,,,,,,,,427,,,,,,,,,
Shell + Lamprell,Renewables,Wind - Fixed Structure,JIP,,Production,Digitization Services,196,160,240,,,,,,,,,,596,,,,,,,,,
Shell,Upstream,TLP,MarsTLP,,Production,Digitization Services,,,,,,,,,,,,,0,,,,,,,,,
LLoyds Register [GP],Upstream,FPSO,Nastran-FPSO,,Production,Digitization Services,,,,,,,,,,,,,0,,,,,,,,,`
,Renewable ,Wind - Floating,PPI,,Production,Digitization Services,,,,,,,,,,,,,0,,,,,,,,,
Shell,Downstream,SMR,QatarSMR,,Production,Digitization Services,464,456,368,,,,,,,,,,1288,,,,,,,,,
Rio Tinto,Mining,Stacker,RTIO-Reclaimer,,Production,Digitization Services,52,824,1164,,,,,,,,,,2040,,,,,,,,,
Shell,Downstream ,Reactor,Scotford,,Production,Digitization Services,88,,,,,,,,,,,,88,,,,,,,,,
Shell,Renewables,Wind Narcelle,TetraSpar,,Production,Digitization Services,208,192,219,,,,,,,,,,619,,,,,,,,,
Shell,Downstream ,ASU ,WGAN-distributor,,Production,Digitization Services,,,,,,,,,,,,,0,,,,,,,,,
Shell,Renewables,Wind - Floating,workFLOWT,,Production,Digitization Services,252,411,332,,,,,,,,,,995,,,,,,,,,
Santos WA Energy Limited,Upstream,FPSO,Santos-Ningaloo,,Production,Digitization Services,447,544,596,,,,,,,,,,1587,,,,,,,,,
Shell,Downstream,Pump,HTF-2P7604,,Production,Digitization Services,188,,,,,,,,,,,,188,,,,,,,,,
CEPSA,Downstream,Reactor,CEPSA-Reactor,,Production,Digitization Services,40,,,,,,,,,,,,40,,,,,,,,,
ADNOC,Downstream,Compressor-Rotor,ADNOC-Compressor-Rotor,,Production,Digitization Services,,44,,,,,,,,,,,44,,,,,,,,,
Shell,Downstream,HRSG ,HRSG,,Production,Digitization Services,,,256,,,,,,,,,,256,,,,,,,,,
Pan American Energy,Downstream ,Superheater-Tubes,PAE-Superheater-Tubes,,Production,Digitization Services,,,171,,,,,,,,,,171,,,,,,,,,
Cosmi S.p.A.,Downstream,ORV,COSMI-ORV,,Production,Digitization Services,264,320,368,,,,,,,,,,952,,,,,,,,,
"Lamprell Energy Limited
",Renewables,Wind - Fixed,Lamprell-support,,Production,Post Sales Support,160,160,184,,,,,,,,,,504,,,,,,,,,
Akselos,,,Pre-Sales,,Showcase,Pre-Sales Support,368,592,528,,,,,,,,,,1488,,,,,,,,,
Pusan National University,,,Pusan-Support,,Training & Support,Post Sales Support,60,12,,,,,,,,,,,72,,,,,,,,,
Yenem,,,YENEM-Support,,Training & Support,Post Sales Support,68,68,,,,,,,,,,,136,,,,,,,,,
TUBraunschweig,,,TUBraunschweig,,Training & Support,Post Sales Support,28,,,,,,,,,,,,28,,,,,,,,,
Akselos,Upstream,Jacket/Platform,Codecheck,,Development,Software Development,,160,184,,,,,,,,,,344,,,,,,,,,
Akselos,,,dev-project,,Development,Software Development,576,800,896,,,,,,,,,,2272,,,,,,,,,
Akselos,,,HUIDev,,Development,Software Development,624,941,1091,,,,,,,,,,2656,,,,,,,,,
Akselos,,,PLG,,Development,Software Development,176,,,,,,,,,,,,176,,,,,,,,,
Akselos,,,Product-Testing,,Training & Support,Software Development,88,123,,,,,,,,,,,211,,,,,,,,,
Akselos,,,User-Manual,,Training & Support,Software Development,8,,,,,,,,,,,,8,,,,,,,,,
Akselos,,,General,,Development,Software Development,44,,,,,,,,,,,,44,,,,,,,,,
Akselos,,,GUI-Feb-Release,,Training & Support,Software Development,,52,83,,,,,,,,,,135,,,,,,,,,
Akselos,,,HUI-Feb-Release,,Training & Support,Software Development,,247,389,,,,,,,,,,636,,,,,,,,,
Shell,Renewables,Wind - Floating,FOWT,,Production,Software Development,,,116,,,,,,,,,,116,,,,,,,,,
Akselos,,,Internal-Training,,Training & Support,Training,,,88,,,,,,,,,,88,,,,,,,,,
Shell,Renewables,Wind - Floating,Shell-Tetraspar-Training,,Training & Support,Training,,15,116,,,,,,,,,,131,,,,,,,,,
Shell,Upstream,FPSO,SNEPCO-Training,,Training & Support,Training,,,,,,,,,,,,,0,,,,,,,,,
Akselos,,,Training-Development,,Training & Support,Training,88,160,184,,,,,,,,,,432,,,,,,,,,
Akselos,,,Training-Migration,,Training & Support,Training,232,151,,,,,,,,,,,383,,,,,,,,,
